source	issueHash	relation	canonicalFamily	familyKey	duplicateOf	knownFixesStatus	classification	recommendedAction	rowUserHitLikelihoodScore	rowUserHitLikelihoodConfidence	rowScoreStatus	familyPriorityScore	familyPrioritySourceHash	highPriority	seed	transport	actionProfile	extraCollaborators	scoreBasis	scoreNormalizationNote	userHitLikelihoodBasis	result	summary	rootCauseHypothesis	evidence	evidenceAbs	sourceRunDir	sourceResultPath	needsReplay	branch	head	base	tags
known-fixes-all-issues-ledger-20260514T202103Z	bca38cfde43c	duplicate-of:152e248004a3	rtc_collaboration_save_pending_stuck_after_checkpoint_save	152e248004a3	152e248004a3	still_live_new_post_fix_family	likely_real	merge_with_duplicate	4	medium	final	4	bca38cfde43c	true	952447	ws	default	0	isolated_8892_exact_replay_and_reduction		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; common/default workflow evidence; score-5 requires common exposure, realistic repro, and no narrow/harness/fault cap	Seed 952447 still fails on the known-fixes branch, but the current assertion is WS entity/content convergence, not the old save-pending UI family.	Seed 952447 matches the RTC checkpoint-save pending family: `saveDraft()` times out waiting for `!isSavingPost()` at `collaboration-fuzz.spec.ts:1275`, but the final `...-6-0-end` checkpoint title/body are already present locally and in persisted REST snapshots. This is a weaker late-clearing variant because the captured failure snapshot is already back to `Saved`, so it is best merged into canonical signature `152e248004a3` rather than treated as a new bug.		revalidation/bca38cfde43c-ws-save-pending/command.log; reduction/results/bca38cfde43c-ws-save-pending.md	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/revalidation/bca38cfde43c-ws-save-pending/command.log; /Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/reduction/results/bca38cfde43c-ws-save-pending.md	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/analysis-tier/signatures/bca38cfde43c/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,persistence,title,body-content,stuck-saving,rich-text-html,nested-structure,websocket
known-fixes-all-issues-ledger-20260514T202103Z	ac06c646138a	duplicate-of:6f589c89600c	rtc_reload_title_persistence_divergence	6f589c89600c	6f589c89600c	still_live_new_post_fix_family	likely_real	merge_with_duplicate	2	medium	final	2	ac06c646138a	true	931078	http	default	0	isolated_8892_exact_replay_and_reduction		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; realistic or repeated reproduction evidence; common/default workflow evidence; narrow content, parser, revision, or backend edge path; harness/fault/timing caveat	Seed 931078 still fails on the known-fixes branch, but the current assertion is deprecated verse newline-vs-br content convergence, not the old title/reload family.	Seed 931078 matches the existing reload/title persistence bug family: after the reload branch, one peer keeps the edited title while the other falls back to the initial title, even though both peers still agree on blocks and the persisted CRDT document. The trace also shows the same stale canonical post write/read pattern already documented under 6f589c89600c.		revalidation/ac06c646138a-http-title-reload/command.log; reduction/results/ac06c646138a-http-title-reload.md	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/revalidation/ac06c646138a-http-title-reload/command.log; /Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/reduction/results/ac06c646138a-http-title-reload.md	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-2-20260502T083403Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-2-20260502T083403Z/.triage-watcher/analysis-tier/signatures/ac06c646138a/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:http,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,persistence,title,body-content,crdt-meta,nonconvergence,rich-text-html,nested-structure,awareness-discovery
known-fixes-all-issues-ledger-20260514T202103Z	6a8ab2e09b56	duplicate-of:e86f08576521	collaboration_checkpoint_block_inserts_lost_while_title_syncs	e86f08576521	e86f08576521	partial_fixed_variant_but_canonical_inconclusive	likely_real	merge_with_duplicate	4	high	provisional	4	6a8ab2e09b56	true	950284	ws	default	0	carried_forward_until_exact_ws_replay		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; realistic or repeated reproduction evidence; common/default workflow evidence; harness/fault/timing caveat; score-5 requires common exposure, realistic repro, and no narrow/harness/fault cap	Manual realistic HTTP variant passed, but the WS checkpoint wrapper timed out before the data-loss assertion; keep the old likelihood until exact WS replay closes it.	This looks like a flaky but real collaboration correctness bug: during checkpoint verification, the converged shared state keeps the checkpoint title edit but drops the checkpoint paragraph marker block, and sometimes the checkpoint search block too. This signature appears to be the same bug family as the other line-1345 failures, especially `e86f08576521` and likely `f9012fe22f5d`.		known-fixes-revalidation-20260513.md	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/known-fixes-revalidation-20260513.md	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/analysis-tier/signatures/6a8ab2e09b56/result.json	true	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,title,nonconvergence,insert-delete,nested-structure,awareness-discovery,websocket
known-fixes-all-issues-ledger-20260514T202103Z	42ba91c728ca	type:collaboration_http_reload_rejoin_awareness_drop_after_save_checkpoint	collaboration_http_reload_rejoin_awareness_drop_after_save_checkpoint	42ba91c728ca		still_live_new_post_fix_family	likely_real	prioritize_deep_triage	1	medium	final	1	42ba91c728ca	true	931393	http	default	0	isolated_8892_exact_replay_and_reduction		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; common/default workflow evidence; narrow content, parser, revision, or backend edge path; harness/fault/timing caveat; analysis questions product reality	Seed 931393 still fails on the known-fixes branch, but the current assertion is HTTP entity/nested-group content convergence, not the old awareness-drop family.	This looks like a real reload/rejoin robustness failure on the HTTP polling transport, not the common waiter-only false positive. In seed 931393, the checkpoint save succeeds, the viewer reload begins, then the surviving page continues healthy `wp-sync` polling while the post-room awareness drops from 2 peers to 1 and never recovers within the wait window. Strongest same-family duplicate candidate is `cf3c1d158932`.		revalidation/42ba91c728ca-http-awareness-rejoin/command.log; reduction/results/42ba91c728ca-http-awareness-rejoin.md	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/revalidation/42ba91c728ca-http-awareness-rejoin/command.log; /Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/reduction/results/42ba91c728ca-http-awareness-rejoin.md	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-2-20260502T083403Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-2-20260502T083403Z/.triage-watcher/analysis-tier/signatures/42ba91c728ca/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:http,profile:default,historical-high-priority,save,reload-rejoin,persistence,body-content,nonconvergence,rich-text-html,nested-structure,awareness-discovery,http-oversize
known-fixes-all-issues-ledger-20260514T202103Z	472798b93e3f	duplicate-of:08c123e6966a	rtc_empty_content_save_zero_blocks_after_title_update	08c123e6966a	08c123e6966a	still_live_exact_replay_candidate	likely_real	merge_with_duplicate	4	medium	provisional	4	472798b93e3f	true	954037	ws	default	0	exact_8892_replay_still_fails_pending_deep_reclassification		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; harness/fault/timing caveat	Exact replay still fails on the known-fixes branch; deep classification/reduction still required before filing as a surviving bug family.	Seed 954037 converged to a genuinely empty top-level block tree at the line-2562 steady-state assertion, while preserving the updated title. The trace shows the post in a normal non-empty state immediately beforehand, then later in an empty-content state with `_crdt_document` still present. This matches the established empty-save RTC family rather than a reload-only harness/readiness flap.		all-issues-replay-20260513/0-seed-954037-472798b93e3f/result.json	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/all-issues-replay-20260513/0-seed-954037-472798b93e3f/result.json	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/analysis-tier/signatures/472798b93e3f/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,title,body-content,crdt-meta,nested-structure,websocket
known-fixes-all-issues-ledger-20260514T202103Z	38a99abf51b6	duplicate-of:0dda8fd1b523	rtc_reload_second_save_stuck_saving_loop	0dda8fd1b523	0dda8fd1b523	still_live_exact_replay_candidate	likely_real	merge_with_duplicate	4	medium	provisional	4	38a99abf51b6	true	954131	ws	default	0	exact_8892_replay_still_fails_pending_deep_reclassification		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; realistic or repeated reproduction evidence; score-5 requires common exposure, realistic repro, and no narrow/harness/fault cap	Exact replay still fails on the known-fixes branch; deep classification/reduction still required before filing as a surviving bug family.	Seed 954131 matches the confirmed RTC stuck-saving/save-loop family: after reload and a later checkpoint save, the editor shows the final step-6 state but never clears isSavingPost(), while the trace shows repeated successful save/refetch churn on the same post endpoint.		all-issues-replay-20260513/1-seed-954131-38a99abf51b6/result.json	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/all-issues-replay-20260513/1-seed-954131-38a99abf51b6/result.json	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/analysis-tier/signatures/38a99abf51b6/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,body-content,stuck-saving,nested-structure,websocket
known-fixes-all-issues-ledger-20260514T202103Z	0a0605fdba05	duplicate-of:13a1541b51f5	rtc_checkpoint_save_search_only_collapse	13a1541b51f5	13a1541b51f5	still_live_exact_replay_candidate	likely_real	merge_with_duplicate	2	medium	provisional	2	0a0605fdba05	true	954211	ws	default	0	exact_8892_replay_still_fails_pending_deep_reclassification		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; harness/fault/timing caveat	Exact replay still fails on the known-fixes branch; deep classification/reduction still required before filing as a surviving bug family.	This signature is best treated as a duplicate of the existing RTC checkpoint-save corruption family where the post briefly collapses to a single new `core/search` block during save. The new checkpoint title and search marker survive, but the newly inserted checkpoint paragraph disappears, which is a real content-correctness failure rather than infra.		all-issues-replay-20260513/2-seed-954211-0a0605fdba05/result.json	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/all-issues-replay-20260513/2-seed-954211-0a0605fdba05/result.json	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/analysis-tier/signatures/0a0605fdba05/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,title,body-content,insert-delete,websocket
known-fixes-all-issues-ledger-20260514T202103Z	2722f0e897de	duplicate-of:1ccac75d7faa	rtc-rich-text-inline-html-trailing-character-corruption	1ccac75d7faa	1ccac75d7faa	still_live_exact_replay_candidate	likely_real	merge_with_duplicate	2	medium	provisional	2	2722f0e897de	true	930918	http	default	0	exact_8892_replay_still_fails_pending_deep_reclassification		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; harness/fault/timing caveat	Exact replay still fails on the known-fixes branch; deep classification/reduction still required before filing as a surviving bug family.	Seed 930918 is a reduced RTC rich-text divergence: step 0 alone makes one replica keep `<em>italic</em>beta 930918 1` while the peer stabilizes on `<em>italic</em>beta 930918 >`. This matches the existing formatted-paragraph corruption family tracked by `1ccac75d7faa`.		all-issues-replay-20260513/0-seed-930918-2722f0e897de/result.json	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/all-issues-replay-20260513/0-seed-930918-2722f0e897de/result.json	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-gen-4-20260502T074041Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-gen-4-20260502T074041Z/.triage-watcher/analysis-tier/signatures/2722f0e897de/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:http,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,body-content,nonconvergence,rich-text-html,awareness-discovery
known-fixes-all-issues-ledger-20260514T202103Z	cd24513d9923	duplicate-of:2c9a2263fdee	rtc_checkpoint_save_title_rollback_with_body_preserved	2c9a2263fdee	2c9a2263fdee	still_live_exact_replay_candidate	likely_real	merge_with_duplicate	3	medium	provisional	4	2c9a2263fdee	true	951643	ws	default	0	exact_8892_replay_still_fails_pending_deep_reclassification		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; less common collaboration topology	Exact replay still fails on the known-fixes branch; deep classification/reduction still required before filing as a surviving bug family.	Seed 951643 matches the existing checkpoint-save title rollback family: after save, the new checkpoint paragraph and Search block persist, but the title reconverges to the initial post title and that stale title is later visible in persisted REST responses. This looks like the same underlying RTC save/reconciliation bug already captured by cd2cd9aedb08.		all-issues-replay-20260513/1-seed-951643-cd24513d9923/result.json	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/all-issues-replay-20260513/1-seed-951643-cd24513d9923/result.json	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/analysis-tier/signatures/cd24513d9923/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,persistence,title,body-content,websocket
known-fixes-all-issues-ledger-20260514T202103Z	86b23df3d00a	duplicate-of:3c4f5e2ad775	rtc_collaboration_title_corruption_after_reload_reconciliation	3c4f5e2ad775	3c4f5e2ad775	still_live_exact_replay_candidate	likely_real	merge_with_duplicate	2	medium	provisional	4	3c4f5e2ad775	true	950129	ws	default	0	exact_8892_replay_still_fails_pending_deep_reclassification		classified likely_real; user-visible correctness impact; reachable through ordinary editor actions; harness/fault/timing caveat	Exact replay still fails on the known-fixes branch; deep classification/reduction still required before filing as a surviving bug family.	Seed 950129 shows a real RTC collaboration title-corruption bug: after an earlier reload, a later save checkpoint first persists a clean title, then the browser sends a second save with a mangled `rtc-save-title-marker...` title that the server accepts and persists. This is most likely the same reload/reconciliation bug family as `3c4f5e2ad775`, but here the serialized post content stays intact while the title corrupts.		all-issues-replay-20260513/2-seed-950129-86b23df3d00a/result.json	/Users/danluu/dev/fuzz/gutenberg-rtc-77716-fixes-20260513/artifacts/rtc-browser-fuzz/known-fixes-20260513-201544/all-issues-replay-20260513/2-seed-950129-86b23df3d00a/result.json	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-10-20260502T081421Z	/Users/danluu/dev/fuzz/gutenberg/artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-10-20260502T081421Z/.triage-watcher/analysis-tier/signatures/86b23df3d00a/result.json	false	try/rtc-77716-fixes-20260513	2f0367297effc509fd9cd90bee0a18b6b8e9803e	8c3581c285e	transport:ws,profile:default,duplicate-row,historical-high-priority,save,reload-rejoin,persistence,title,body-content,websocket
